subscription_id	new_delivery_price
26842726599	20.49
22174793927	20.49
22060073159	20.49
21998174407	20.49
21965340871	20.49
21944565959	20.49
21919924423	20.49
21886238919	20.49
21854879943	20.49
21836824775	20.49
21829419207	20.49
21801894087	20.49
21800943815	20.49
21759819975	20.49
21738717383	20.49
21517271239	20.49
21488730311	20.49
21379678407	20.49
21370994887	20.49
21353955527	20.49
21345763527	20.49
21249982663	20.49
21222260935	20.49
21000519879	20.49
20999241927	20.49
20978827463	20.49
20976238791	20.49
20959068359	20.49
20945305799	20.49
20906311879	20.49
20873609415	20.49
20857323719	20.49
20830519495	20.49
20735099079	20.49
20692435143	20.49
20624539847	20.49
20602388679	20.49
20587806919	20.49
20575912135	20.49
20570538183	20.49
20536623303	20.49
20393722055	20.49
20389036231	20.49
20334936263	20.49
20217036999	20.49
20207108295	20.49
19757957319	20.49
19517735111	20.49
19435749575	20.49
19430375623	20.49
19230097607	20.49
19218890951	20.49
19181011143	20.49
19149914311	20.49
19137790151	20.49
18962907335	20.49
18954911943	20.49
18931253447	20.49
18917130439	20.49
18835013831	20.49
17705730247	20.49
17536516295	20.49
17493590215	20.49
17403969735	20.49
17387880647	20.49
17329520839	20.49
17317789895	20.49
17301602503	20.49
17265295559	20.49
17033003207	20.49
16841605319	20.49
16821682375	20.49
16784130247	20.49
16781803719	20.49
16744644807	20.49
16659185863	20.49
16593813703	20.49
16529359047	20.49
16364634311	20.49
16154951879	20.49
16106324167	20.49
16100786375	20.49
16086237383	20.49
16017031367	20.49
15918760135	20.49
15678832839	20.49
15199699143	20.49
14957609159	20.49
14921498823	20.49
14698348743	20.49
14283538631	20.49
14192836807	20.49
13729530055	20.49
13729398983	20.49
13291749575	20.49
13141475527	20.49
12902924487	20.49
12526289095	20.49
12183994567	20.49
12144738503	20.49
12112298183	20.49
12080545991	20.49
11939840199	20.49
11920965831	20.49
11655872711	20.49
11600756935	20.49
11553145031	20.49
10006134983	20.49
9873359047	20.49
9826468039	20.49
9709813959	20.49
9592406215	20.49
9435775175	20.49
9295364295	20.49
9240084679	20.49
9227337927	20.49
9141092551	20.49
8921448647	20.49
8845361351	20.49
8844738759	20.49
8767340743	20.49
8543502535	20.49
8138162375	20.49
7870709959	20.49
7526187207	20.49
7400685767	20.49
6983745735	20.49
6766198983	20.49
6747128007	20.49
5889097927	20.49
5694783687	20.49
5676105927	20.49
5570855111	20.49
5540675783	20.49
5449580743	20.49
5348425927	20.49
5297668295	20.49
5278924999	20.49
4909957319	20.49
4870799559	20.49
4828070087	20.49
4827316423	20.49
4800807111	20.49
4681433287	20.49
4668391623	20.49
4600365255	20.49
4596957383	20.49
4223533255	20.49
4138107079	20.49
4080992455	20.49
3755507911	20.49
3698196679	20.49
3685777607	20.49
3657072839	20.49
3642425543	20.49
3518857415	20.49
3518595271	20.49
3352068295	20.49
3293839559	20.49
3289972935	20.49
3035300039	20.49
2984935623	20.49
2968420551	20.49
2927427783	20.49
2903310535	20.49
2867036359	20.49
2851406023	20.49
2812838087	20.49
2773188807	20.49
2728329415	20.49
2698838215	20.49
2689663175	20.49
2684027079	20.49
2589950151	20.49
2585231559	20.49
2551775431	20.49
2551578823	20.49
2543845575	20.49
2501542087	20.49
24925438151	29.49
23329538247	29.49
22981542087	29.49
22373695687	29.49
21868445895	29.49
21256437959	29.49
19704938695	29.49
19077333191	29.49
17405673671	29.49
17302880455	29.49
17041490119	29.49
16502554823	29.49
12700811463	29.49
8632336583	29.49
8010858695	29.49
6231752903	29.49
5537333447	29.49
4922867911	29.49
4084596935	29.49
3972169927	29.49
3820880071	29.49
3629973703	29.49
3351838919	29.49
3174564039	29.49
3077243079	29.49
3073605831	29.49
3032711367	29.49
2882207943	29.49
2754019527	29.49
2616000711	29.49
2589360327	29.49
2540699847	29.49
2521891015	29.49
